,measure,roi,task,t_thresh,p_thresh,permutations,largest_real_significant_cluster,cluster_thresh,roi_size,largest_real_cluster
0,mmi,m1,lessstringentmodel,2.018,0.025,10000,,93,375,90
1,mmi,pcc,lessstringentmodel,2.018,0.025,10000,20,2,953,20
2,sv,pcc,mainTask,2.018,0.025,10000,111,108,953,111
3,sv,v1,mainTask,2.018,0.025,10000,,17,117,16
4,md,sma,motortask,2.018,0.025,10000,46,22,316,46
5,md,m1,maintask,2.018,0.025,10000,173,173,375,173
6,mmi,dacc,lessstringentmodel,2.018,0.025,10000,16,10,154,16
7,meanvel,sma,maintask,2.018,0.025,10000,150,150,316,150
8,sv,vmpfc,mainTask,2.018,0.025,10000,6,3,325,6
9,numfixations,m1,maintask,2.018,0.025,10000,51,44,375,51
10,meanvel,sma,motortask,2.018,0.025,10000,8,3,316,8
11,mmi,v1,mainTask,2.018,0.025,10000,12,4,187,12
12,mmi,sma,lessstringentmodel,2.018,0.025,10000,48,22,316,48
13,mmi,dacc,mainTask,2.018,0.025,10000,10,7,154,10
14,meanvel,vmpfc,maintask,2.018,0.025,10000,,129,325,125
15,meanvel,m1,maintask,2.018,0.025,10000,301,301,375,301
16,mmi,vstr,mainTask,2.018,0.025,10000,9,4,416,9
17,meanvel,dacc,maintask,2.018,0.025,10000,,27,154,26
18,mmi,sma,mainTask,2.018,0.025,10000,12,5,316,12
19,sv,dacc,mainTask,2.018,0.025,10000,73,73,154,73
20,md,vstr,maintask,2.018,0.025,10000,19,4,416,19
21,mmi,m1,mainTask,2.018,0.025,10000,28,7,375,28
22,sv,vstr,mainTask,2.018,0.025,10000,,181,416,173
23,mmi,wholebrain,lessstringentmodel,2.9629,0.0025,10000,70,12,132000,70
24,sv,sma,mainTask,2.018,0.025,10000,75,75,316,75
25,numfixations,vstr,maintask,2.018,0.025,10000,8,2,416,8
26,sv,m1,mainTask,2.018,0.025,10000,,127,375,126
27,numfixations,pcc,maintask,2.018,0.025,10000,70,6,953,70
28,meanvel,pcc,maintask,2.018,0.025,10000,570,570,953,570
29,mmi,pcc,mainTask,2.018,0.025,10000,59,6,953,59
30,meanvel,vstr,maintask,2.018,0.025,10000,234,234,416,234
31,meanvel,vmpfc,motortask,2.018,0.025,10000,18,5,325,18